Nationality,Residence,Q4,Q5,Q6,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q19_14,Q19_15,Q19_16,Q19_17,Q19_18,Q19_19,Q19_20,Q19_21,Q19_22,Q19_23,Q19_24,Q19_25,Q19_26,Q19_27,Q19_28,Q19_29,Q19_30,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Lextale,Wellbeing,Selfcontrol,Emotionality,Sociability,TEIQue,TVReactionsEN,TVReactionsTR,SocialMediaEN,SocialMediaTR
TR,TR,2,38,5,4,9,2,1,3,6,6,6,6,6,6,6,6,6,6,3,7,3,7,3,7,5,3,3,3,6,5,5,6,5,5,5,5,4,6,4,5,3,5,4,4,5,4,4,4,3,4,4,4,5,5,2,7,4,7,4,6,4,4,4,5,4,5,57.5,4.66667,4.16667,4.25,4.5,4.43333,14,24,8,10
TR,TR,1,22,5,4,4,2,1,3,6,3,6,6,6,6,6,6,6,6,6,7,6,2,3,3,7,4,4,6,3,3,4,4,5,3,2,4,7,3,5,2,6,4,5,2,5,4,4,4,4,4,4,4,4,4,5,4,5,4,6,5,4,3,2,2,2,2,57.5,3.66667,4.66667,4.75,3.5,4.13333,20,16,4,4
TR,TR,2,23,5,3,7,1,1,9,6,6,6,6,6,6,6,6,3,6,6,7,2,1,7,3,2,4,4,4,3,5,3,2,5,2,5,3,3,3,4,2,5,4,4,4,4,3,4,4,4,5,3,4,6,6,6,5,7,6,7,6,5,4,7,5,7,4,57.5,3.66667,4,3.25,4.16667,3.8,25,21,14,9
TR,TR,2,23,5,4,7,2,1,9,6,6,6,6,6,6,6,6,2,6,7,7,7,3,5,5,5,7,5,6,6,6,4,6,5,6,6,6,7,6,4,7,7,5,5,5,6,4,5,5,2,6,5,7,7,2,4,4,5,5,7,7,5,5,5,5,7,7,57.5,5.33333,4.16667,6.375,5.33333,5.43333,21,21,12,12
TR,TR,1,23,6,1,4,2,1,2,6,6,6,6,6,6,6,6,6,6,4,7,4,7,4,7,2,4,3,4,4,3,4,4,3,4,4,3,4,5,6,5,6,4,3,3,4,2,6,4,3,5,5,5,4,5,5,4,3,4,3,4,4,3,5,3,4,4,57.5,3.66667,4,4.5,3.83333,4.03333,15,15,9,7
TR,TR,1,28,5,4,6,2,1,2,6,6,6,6,6,6,6,6,6,6,3,7,1,6,3,7,3,1,7,1,7,7,1,3,4,4,7,5,4,1,7,1,3,3,4,4,3,5,5,6,3,6,7,4,5,4,1,7,3,7,3,7,7,1,3,6,3,6,58.75,5.5,3.66667,3,5,4.16667,14,22,6,12
TR,TR,1,36,5,1,1,1,1,2,6,6,6,6,6,6,6,6,6,6,4,7,4,5,3,3,4,4,5,5,6,5,4,5,5,4,5,3,4,4,5,3,5,5,5,5,5,3,5,5,4,4,5,4,5,5,3,4,4,5,4,4,4,3,4,4,4,4,58.75,4.83333,4.5,4.25,4.5,4.53333,15,16,8,8
TR,TR,1,29,5,1,2,1,1,9,6,6,6,6,6,6,6,6,6,2,7,7,6,2,6,5,6,2,7,6,7,6,6,4,6,2,6,3,5,6,6,6,6,6,6,6,6,5,5,5,5,6,5,6,6,2,5,7,6,4,7,5,6,2,6,6,6,6,60,5.33333,5.16667,5,5.16667,5.3,24,18,12,12
TR,TR,2,32,5,1,3,2,1,2,6,6,6,6,6,6,6,6,6,6,3,7,3,7,5,7,3,4,3,5,4,5,4,4,3,5,4,4,5,6,3,4,5,5,3,4,3,5,3,3,5,4,4,4,4,4,1,5,4,7,5,4,5,4,4,5,3,2,60,3.66667,4,4,4.33333,4.06667,15,20,7,7
TR,TR,2,60,5,3,1,2,1,2,6,6,6,6,6,6,6,6,6,6,3,7,4,3,2,7,5,7,4,4,4,7,2,7,4,4,5,4,5,3,5,3,7,4,4,4,7,4,4,4,5,6,4,4,6,1,4,6,5,6,5,6,6,2,5,6,4,6,60,4,3.33333,5.25,5.66667,4.56667,20,20,9,12
TR,TR,2,30,5,1,2,2,1,9,6,9,6,6,6,6,6,6,3,6,7,7,7,7,7,7,7,7,7,6,7,7,1,6,7,7,6,7,7,7,6,7,6,6,6,7,7,6,5,7,6,6,7,7,7,6,6,6,6,4,7,7,6,4,7,7,7,7,60,7,5.16667,6.5,6.5,6.36667,25,21,14,14
TR,TR,2,29,5,3,4,2,1,2,6,3,6,6,6,6,6,6,6,6,3,7,5,7,5,7,5,7,4,6,6,5,6,6,5,7,2,6,6,6,5,6,7,6,5,5,4,4,4,5,6,6,5,6,4,4,4,4,5,5,6,6,4,4,4,4,5,5,61.25,5.33333,5,5.875,5,5.3,19,19,9,9
TR,TR,3,29,5,1,3,2,1,2,6,3,6,6,6,6,6,6,6,6,1,7,7,2,7,7,7,6,5,4,6,6,2,4,6,6,5,5,4,3,5,6,5,5,6,6,5,4,5,6,4,5,4,7,5,5,3,5,6,6,7,7,4,1,6,6,7,7,61.25,5.5,4.33333,5.5,5.16667,5.06667,20,19,13,13
TR,TR,1,30,5,1,3,2,1,2,6,6,6,6,6,6,6,6,6,6,2,7,2,7,3,7,5,6,4,6,3,6,6,7,7,7,5,4,5,6,6,6,4,6,6,2,5,5,3,6,6,5,2,6,5,6,1,1,3,2,4,6,4,2,3,5,4,7,61.25,4,5.83333,5.25,5.66667,5.2,12,11,7,12
TR,TR,1,23,5,1,5,2,1,9,3,3,6,6,6,6,6,6,6,6,7,7,7,3,7,7,2,5,4,2,1,4,2,2,6,6,4,2,2,2,4,6,2,2,4,2,3,2,6,4,6,5,3,6,4,6,4,4,4,4,5,5,1,1,5,5,7,7,61.25,3,3.33333,3.875,4.66667,3.63333,14,14,12,12
TR,TR,2,70,4,4,8,1,9,9,6,6,6,6,6,6,6,6,3,6,7,7,7,7,7,7,7,7,5,3,7,7,4,6,2,4,7,7,7,6,2,7,7,7,4,7,7,4,1,7,7,7,7,6,1,7,5,7,6,7,7,6,3,2,3,2,5,7,61.25,6.16667,4,6,6.5,5.56667,21,22,8,9
TR,TR,2,41,5,1,12,2,1,9,6,3,6,6,6,6,6,6,6,6,5,7,2,7,5,5,7,1,5,3,7,7,3,6,4,6,5,6,3,1,3,7,7,5,5,6,5,4,5,5,3,6,2,7,4,1,7,7,7,7,7,7,4,5,5,7,5,7,62.5,5,3.16667,5.375,5.33333,4.63333,25,26,10,14
TR,TR,1,33,6,1,11,2,1,3,6,6,6,6,6,6,6,6,6,6,1,7,3,7,4,7,6,3,7,4,6,6,6,7,3,6,4,6,7,6,6,5,6,6,6,5,6,5,4,5,6,6,5,7,6,5,2,7,4,7,3,7,3,5,3,7,3,7,62.5,5,5.33333,5.625,5.66667,5.53333,12,26,6,14
TR,TR,2,46,5,3,1,1,1,9,6,2,3,6,6,3,6,3,3,3,5,7,7,7,7,7,5,4,5,5,7,3,4,6,6,6,6,2,6,5,5,5,5,5,4,6,4,3,6,6,5,5,6,5,6,3,2,2,5,5,7,7,2,2,3,3,7,7,62.5,5.5,4,5.25,4.83333,4.96667,16,16,10,10
TR,TR,2,32,6,4,7,1,1,9,6,6,6,6,6,6,6,6,6,6,7,7,3,3,4,5,5,6,4,2,5,1,3,3,5,3,4,6,7,3,6,1,6,4,3,6,1,1,6,5,6,7,5,5,1,5,3,5,2,4,2,3,4,2,2,3,5,4,62.5,5.33333,3.33333,4.875,3.66667,4.16667,11,14,7,7
TR,TR,2,21,5,4,7,2,1,9,6,3,6,6,3,6,6,6,6,6,7,7,7,2,7,1,7,2,5,3,1,6,4,1,7,7,4,3,6,1,1,7,5,1,4,5,7,3,7,5,7,1,4,2,4,1,7,5,7,4,7,2,7,1,7,4,7,5,62.5,4.16667,2.66667,4.625,5.33333,4.03333,28,12,14,9
TR,TR,1,23,5,2,7,2,1,3,6,6,6,6,6,6,6,6,6,6,2,1,2,4,3,5,5,4,5,2,2,5,4,2,6,4,4,3,4,3,5,4,5,2,7,7,3,3,7,7,2,3,3,3,6,5,2,3,4,2,4,2,5,2,3,2,5,5,62.5,4.66667,4.33333,4.25,3.5,4.16667,15,9,8,7
TR,TR,1,20,4,1,4,1,1,9,3,6,6,6,6,6,6,6,6,6,4,6,7,2,5,4,4,3,5,4,4,6,2,6,6,2,5,3,3,3,7,2,6,6,4,3,3,1,7,7,1,1,7,1,7,7,1,1,5,2,5,1,5,1,4,2,5,2,63.75,5,4.16667,4,3,4.2,16,5,9,4
TR,TR,2,28,6,1,3,1,1,9,6,6,6,6,6,6,6,6,6,6,7,7,7,2,3,5,5,4,3,4,3,4,3,5,5,4,3,4,3,3,3,3,3,2,2,3,4,4,3,5,3,3,5,4,3,4,5,4,5,3,5,3,3,4,4,3,3,4,65,4.16667,3.33333,3.75,3.5,3.56667,18,14,7,7
TR,TR,2,25,5,1,4,2,1,9,6,3,6,6,6,6,6,6,6,6,5,7,3,5,1,3,4,5,4,3,5,5,6,6,4,5,6,4,5,3,5,5,5,4,5,5,3,4,5,4,5,4,5,4,5,5,3,5,5,4,5,6,6,6,5,5,6,6,65,4.5,4.66667,4.875,4.66667,4.6,19,21,11,11
TR,TR,1,26,5,1,5,2,1,9,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,5,6,6,6,2,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,2,6,6,6,6,65,5.33333,4.66667,5.25,4.16667,4.83333,20,17,12,12
TR,TR,2,34,6,3,11,1,1,9,3,6,6,6,6,6,6,6,6,6,4,7,4,3,6,7,4,2,5,5,6,5,1,4,6,7,3,4,6,6,5,4,5,3,5,4,3,4,6,4,6,5,6,5,7,4,4,6,7,7,7,7,6,4,5,5,7,7,65,5,4,4.5,4.83333,4.66667,24,24,12,12
