Nationality,Residence,Q4,Q5,Q6,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q19_14,Q19_15,Q19_16,Q19_17,Q19_18,Q19_19,Q19_20,Q19_21,Q19_22,Q19_23,Q19_24,Q19_25,Q19_26,Q19_27,Q19_28,Q19_29,Q19_30,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Lextale,Wellbeing,Selfcontrol,Emotionality,Sociability,TEIQue,TVReactionsEN,TVReactionsTR,SocialMediaEN,SocialMediaTR
TR,TR,1,34,2,1,4,2,1,3,6,6,6,6,6,6,6,6,6,6,3,7,2,7,3,7,5,6,4,5,2,2,4,1,7,1,3,6,4,5,7,5,4,3,3,7,6,2,1,6,3,4,6,6,4,7,3,5,6,7,6,6,4,4,4,4,5,5,71.25,5.66667,4.66667,4,3.16667,4.3,19,22,9,9
TR,TR,1,30,6,1,1,1,1,9,6,2,6,6,6,6,6,6,6,6,7,7,7,2,7,7,7,6,3,3,7,3,4,5,6,6,6,4,6,6,5,6,5,6,6,6,3,2,4,5,4,6,5,6,6,6,6,4,6,6,7,7,2,1,6,5,6,6,71.25,5.5,4.33333,5.625,4.66667,5.1,21,18,12,11
TR,TR,2,23,5,1,7,2,1,9,6,3,6,6,3,6,6,6,6,3,7,7,7,2,7,6,7,4,6,3,7,7,2,2,4,6,6,3,5,5,5,4,7,5,6,7,7,3,6,6,3,5,6,5,7,7,7,7,5,7,7,3,1,1,7,7,7,3,71.25,5.5,4.33333,5,5.66667,5.2,20,18,14,10
TR,TR,2,38,6,1,3,2,1,9,9,3,6,6,2,6,6,6,6,6,6,7,6,2,3,5,4,4,5,4,6,3,4,6,5,5,5,4,6,6,5,6,5,6,5,7,5,2,5,5,4,5,5,4,7,5,4,2,5,5,5,5,4,4,4,4,4,4,72.5,5.33333,4.16667,5,4.5,4.93333,18,16,8,8
TR,TR,1,34,5,1,2,2,1,9,3,6,6,6,6,6,6,6,6,6,7,7,5,5,7,7,5,2,5,6,7,7,6,3,7,6,4,4,4,6,5,6,3,6,5,7,7,4,2,6,7,4,6,6,7,6,1,1,2,3,4,6,4,4,1,1,5,7,72.5,6.16667,5.33333,3.875,5.83333,5.3,11,14,6,8
TR,TR,2,20,5,4,7,2,1,2,6,6,6,6,6,6,6,6,6,6,5,7,5,6,6,7,6,5,2,3,2,4,6,2,3,4,4,3,3,3,2,5,6,2,5,2,5,3,5,3,2,5,3,3,1,5,5,7,7,7,7,7,6,6,6,6,7,7,72.5,2.66667,4,4.375,4,3.56667,25,27,13,13
TR,TR,2,22,5,2,1,1,1,9,6,6,6,6,6,6,2,6,9,6,7,7,1,1,7,1,7,1,7,1,1,7,1,1,7,1,7,1,1,1,7,1,7,1,7,7,7,1,7,7,1,1,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,72.5,5,4,3.25,4,4,28,28,14,14
TR,TR,1,31,6,1,2,1,1,9,6,6,6,6,6,6,6,6,6,6,4,7,3,7,4,7,5,5,4,3,2,4,6,2,7,5,2,4,6,7,3,5,6,3,5,5,5,5,4,3,6,2,7,6,5,2,1,2,4,4,6,6,4,3,1,3,5,7,72.5,4.66667,4,4.875,4,4.46667,15,15,6,10
TR,TR,2,48,6,1,1,2,1,9,6,6,6,6,6,6,6,6,6,6,7,7,7,4,7,5,7,1,6,6,7,6,5,6,7,1,6,2,7,7,2,6,6,6,6,7,6,6,6,6,2,6,6,6,6,3,4,4,4,4,4,4,3,3,4,4,4,4,73.75,5.83333,4.66667,5.625,4.5,5.33333,15,15,8,8
TR,TR,2,28,6,4,7,2,1,2,6,6,6,6,6,6,6,6,6,6,4,7,6,2,6,6,5,6,2,5,5,3,6,6,5,6,3,6,7,5,2,6,6,4,3,3,2,5,3,5,4,2,4,5,5,3,2,5,4,5,6,2,5,4,3,5,5,5,73.75,4.66667,4,5.5,3.33333,4.4,17,16,8,10
TR,TR,2,30,6,1,3,2,1,9,6,6,6,6,6,6,6,6,6,6,7,7,7,2,7,2,7,7,2,3,2,3,5,7,6,3,5,1,5,3,3,2,7,1,4,2,2,2,7,6,5,4,3,3,2,1,7,7,7,4,7,7,5,3,5,5,7,3,73.75,3.33333,3,5.625,3.66667,3.76667,26,21,12,8
TR,TR,2,22,5,2,7,2,1,2,6,6,6,6,3,6,6,6,6,6,5,7,5,3,5,5,4,7,4,5,4,5,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,73.75,4,4.16667,4.5,4.5,4.3,16,16,9,8
TR,TR,2,31,6,1,2,2,1,9,3,3,6,6,6,6,6,6,6,6,6,7,3,7,6,7,6,7,5,6,4,6,6,6,6,5,5,5,7,7,4,7,7,7,5,4,5,6,6,5,6,7,4,7,6,2,5,7,5,7,4,5,6,5,4,6,4,5,75,4.66667,4.83333,6.625,5.66667,5.63333,20,24,8,11
TR,TR,2,32,5,1,3,2,1,9,6,6,6,6,6,6,6,6,2,6,7,7,5,3,6,5,7,6,4,3,4,5,6,6,5,7,6,6,6,6,6,4,6,4,6,4,7,5,3,6,6,6,5,7,6,3,3,6,5,4,7,6,5,2,5,3,6,6,75,5,4.83333,5.625,6.16667,5.36667,20,18,11,9
TR,TR,1,31,6,1,1,1,1,9,6,6,6,6,6,6,6,6,6,6,3,7,2,4,7,7,5,5,6,4,6,5,6,6,7,7,4,6,4,6,6,6,4,6,4,5,5,4,2,5,7,4,5,6,4,5,1,1,1,2,3,5,4,2,1,1,5,5,75,5.66667,4.83333,4.75,5.33333,5.16667,9,10,6,6
TR,TR,1,43,6,1,3,2,1,2,6,6,6,6,6,6,6,2,6,6,7,7,7,7,7,7,5,2,3,4,4,4,5,6,6,4,4,4,6,4,4,6,4,4,4,4,2,5,4,4,5,4,4,4,4,2,3,5,5,6,6,6,2,2,4,4,4,4,75,4.33333,4,4.625,3.83333,4.16667,16,19,8,8
TR,TR,1,31,5,1,2,2,1,9,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,1,7,6,5,5,6,6,4,3,3,5,6,6,5,6,6,7,2,5,2,6,7,7,6,6,5,7,4,5,5,6,5,6,5,1,5,3,6,6,76.25,5.83333,5,4.875,5.33333,5.26667,19,18,11,9
TR,TR,2,22,5,4,7,2,1,9,6,3,6,6,6,6,6,6,6,6,5,7,7,3,5,3,7,7,5,7,7,6,3,7,7,7,5,7,7,7,5,7,7,6,3,7,6,7,7,5,6,6,7,7,7,5,2,2,6,6,6,3,2,2,3,3,6,3,76.25,6.66667,5,7,6,6.23333,16,13,9,6
TR,TR,2,45,6,1,12,2,1,2,3,6,6,6,6,6,6,6,6,6,5,7,3,7,4,7,5,4,6,4,6,5,4,5,4,4,6,3,5,4,4,4,3,3,6,6,4,5,5,5,4,4,5,4,5,5,3,5,5,5,6,6,5,4,5,6,5,6,77.5,4.83333,4.66667,4.375,4.5,4.56667,19,20,10,12
TR,TR,1,43,5,1,3,1,1,9,6,6,6,6,6,6,6,6,6,6,3,7,3,7,4,7,6,3,5,3,6,7,6,5,5,6,4,6,2,6,7,6,5,3,6,5,4,5,2,5,6,3,6,4,7,5,4,4,5,4,4,5,5,4,5,5,5,5,77.5,5.5,5.33333,4.125,5,4.96667,18,17,10,10
TR,TR,1,28,5,1,3,2,1,9,6,2,6,6,6,6,6,6,6,6,7,7,5,4,7,7,5,3,4,6,6,6,3,6,6,7,5,7,6,6,6,6,5,6,6,5,5,3,2,6,7,5,5,6,5,5,2,5,5,5,6,6,6,1,3,3,6,6,77.5,5.83333,4.83333,4.875,5.83333,5.3,19,17,9,9
TR,TR,1,29,5,1,2,2,1,9,2,6,6,6,6,6,6,6,6,6,5,7,7,7,2,7,6,6,4,2,5,7,3,4,4,4,3,4,7,6,5,1,4,3,6,5,6,3,2,3,2,1,4,6,6,5,2,3,5,5,5,6,6,2,4,5,5,6,78.75,4.16667,4,4.5,3.83333,4.23333,18,16,9,11
TR,TR,1,24,5,1,4,1,1,9,3,3,6,6,6,6,6,3,6,6,7,7,7,2,7,3,6,7,6,5,4,6,4,6,6,6,6,4,5,7,5,7,6,6,4,5,6,6,6,6,2,7,7,6,7,4,5,5,6,5,6,6,6,3,5,5,6,4,80,5.33333,4.66667,6.125,5.5,5.6,23,19,11,9
TR,TR,1,21,2,4,7,2,1,2,6,3,6,6,3,6,6,3,6,3,3,7,6,1,1,2,7,5,7,5,5,6,3,5,5,7,6,7,4,6,5,6,7,7,7,5,5,5,3,6,6,6,6,5,5,7,2,1,5,2,7,2,6,4,2,1,7,2,80,5.66667,5.33333,5.25,6,5.63333,20,9,9,3
TR,TR,2,24,5,1,3,2,1,9,2,6,6,6,6,6,6,3,6,6,5,7,6,6,6,7,6,7,4,4,6,4,5,4,6,5,4,3,4,6,4,4,7,4,7,5,6,4,7,5,6,6,3,4,6,2,3,3,2,2,5,4,4,2,4,4,4,4,81.25,4.66667,4.33333,5.375,5.16667,4.93333,14,11,8,8
TR,TR,2,30,6,1,3,1,1,9,3,6,6,6,6,6,6,6,6,6,5,7,7,7,5,7,7,2,6,6,1,4,3,6,6,4,3,3,7,4,3,3,4,5,4,3,4,4,4,4,3,5,2,4,5,2,3,3,6,6,3,4,3,4,3,3,4,4,81.25,3.16667,3.66667,4.625,3.83333,4.03333,15,17,7,7
TR,TR,1,22,5,4,7,2,1,2,6,6,6,6,6,6,6,3,6,6,6,7,6,6,7,6,4,4,5,3,5,5,5,6,4,5,3,3,5,4,5,5,4,5,3,3,5,3,4,3,5,3,5,6,4,3,3,5,5,6,5,5,4,4,5,5,5,5,81.25,3.83333,3.66667,4.75,4.33333,4.23333,17,20,10,10
TR,TR,1,31,6,1,11,1,1,9,6,6,6,6,6,6,6,6,6,6,3,7,6,6,7,7,5,6,5,5,5,6,2,5,5,5,4,5,6,5,5,4,5,3,5,5,4,4,3,3,5,6,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,82.5,4.66667,4.33333,4.875,5,4.7,19,19,10,10
TR,TR,2,47,2,1,4,2,1,2,6,6,6,6,6,6,6,6,6,6,3,7,1,7,3,7,4,5,6,4,7,1,1,7,7,4,4,4,1,2,1,7,4,5,2,2,4,3,3,5,4,4,5,4,6,1,1,2,4,4,6,6,6,1,3,5,5,5,82.5,5,2,4.375,3.5,3.9,17,13,8,10
TR,TR,2,22,5,4,6,2,1,9,6,6,6,6,6,6,6,6,3,6,5,7,5,2,5,3,5,4,2,3,4,1,4,3,6,7,7,4,6,4,5,7,4,4,2,4,5,7,6,6,5,7,4,7,6,7,2,6,5,3,4,2,5,1,5,3,7,3,82.5,4.66667,4.66667,5.25,5.33333,4.86667,16,12,12,6
TR,TR,1,26,5,1,3,2,1,9,6,3,6,6,6,6,6,6,3,6,4,7,2,2,5,7,4,6,4,5,4,4,5,6,4,5,3,5,7,5,3,5,5,5,3,3,4,4,4,3,6,4,3,4,3,4,3,3,4,4,5,5,5,4,4,4,4,4,83.75,3.66667,4,5.125,4.33333,4.33333,17,16,8,8
TR,TR,1,27,5,1,12,1,1,9,6,6,6,6,6,6,6,6,6,6,5,7,6,7,7,7,6,3,6,4,5,6,4,6,6,5,6,4,5,6,6,5,5,6,6,5,7,4,6,6,4,4,4,5,6,6,5,6,6,7,4,7,6,5,6,6,7,5,83.75,5,5,5.125,5.33333,5.23333,21,25,13,11
TR,TR,2,30,5,1,1,1,1,9,6,3,6,6,6,3,6,6,6,3,7,7,7,1,7,7,7,5,4,6,1,7,4,5,5,7,4,4,7,5,2,7,7,3,7,6,3,3,5,4,4,5,5,3,7,1,7,7,7,7,7,7,6,4,7,7,7,7,83.75,4.16667,3.83333,5.75,5,4.76667,27,25,14,14
TR,TR,1,27,5,1,3,1,1,9,6,6,6,6,6,6,6,6,6,6,5,7,6,5,7,7,7,3,7,7,7,6,4,6,7,3,5,7,7,6,6,6,6,6,6,7,7,6,5,7,6,4,6,6,7,6,5,6,6,6,6,4,6,3,5,5,6,6,85,6.83333,5.83333,5.75,5.16667,5.96667,23,19,11,11
TR,TR,2,23,5,4,7,2,1,9,6,6,6,6,6,6,6,6,3,6,4,7,6,2,5,6,7,6,4,2,4,4,4,3,4,4,5,4,7,5,4,7,5,4,3,4,5,5,5,4,4,6,4,6,5,2,2,3,5,3,5,4,3,2,4,4,5,4,85,4,3.33333,5.75,4.66667,4.53333,15,12,9,8
TR,TR,2,35,5,1,11,2,1,9,6,6,6,6,6,6,6,6,6,6,5,7,3,7,4,7,1,5,5,7,1,5,6,7,4,2,3,2,7,7,7,7,4,4,7,1,4,3,3,7,5,4,1,6,7,1,2,7,3,7,4,7,2,5,4,7,4,7,86.25,2.66667,5.16667,5,3.83333,4.43333,11,26,8,14
TR,TR,1,26,5,1,2,1,1,9,6,9,6,6,6,6,6,6,6,6,7,7,7,4,5,7,5,5,5,5,6,6,7,6,6,5,4,4,7,7,6,7,5,6,4,6,6,6,2,6,6,6,3,7,7,1,2,2,2,2,5,5,6,5,2,2,5,5,86.25,5.16667,4.83333,5.5,5.5,5.4,15,14,7,7
TR,TR,2,39,5,1,1,2,1,9,6,6,6,6,6,6,6,6,6,6,5,7,4,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,5,6,7,7,7,5,7,5,6,6,7,7,7,86.25,7,6.5,6.875,7,6.83333,23,27,13,14
TR,TR,2,24,5,4,7,2,1,2,6,3,6,6,6,6,6,6,6,6,5,7,3,7,3,7,7,3,4,5,7,5,6,6,4,4,4,7,7,6,7,7,2,3,7,7,4,7,7,5,5,5,7,7,7,7,3,5,5,5,7,7,6,4,5,3,6,5,86.25,6.16667,6.5,5.75,4.5,5.63333,21,21,11,8
TR,TR,1,23,5,2,2,2,1,9,6,3,6,6,3,6,6,6,6,6,6,6,4,1,5,7,3,6,5,2,4,6,5,3,6,3,5,3,4,3,3,2,7,5,4,5,5,3,5,5,5,4,5,3,5,2,3,5,5,6,7,7,3,2,6,6,7,7,86.25,4.66667,3.16667,4.125,4.66667,4.2,18,20,13,13
TR,TR,2,21,5,4,7,2,1,2,6,6,6,6,3,6,6,6,6,6,6,7,5,3,5,7,6,6,4,4,6,4,2,2,3,5,3,5,6,5,2,5,2,4,3,4,4,3,6,3,4,6,4,5,6,6,4,4,5,3,5,5,4,2,5,4,5,6,86.25,4.16667,3.33333,4.75,4.33333,4.26667,18,14,10,10
TR,TR,2,29,5,1,2,1,1,9,6,3,6,6,6,6,6,6,6,6,4,7,5,5,5,6,4,6,6,6,6,2,3,6,5,5,2,6,6,6,5,6,3,6,6,6,5,3,4,5,4,6,5,5,6,6,3,5,4,4,5,5,3,3,5,5,5,6,87.5,5.5,4.83333,5,4,5,15,17,10,11
TR,TR,2,28,5,4,7,1,1,9,6,6,6,6,6,6,6,2,3,6,5,7,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,87.5,4,4,4,4,4,16,16,8,8
TR,TR,2,38,5,1,11,2,1,9,6,6,6,6,6,6,6,6,6,6,7,7,7,1,7,3,5,6,5,5,5,5,5,5,7,5,5,5,6,4,4,7,7,4,7,6,4,7,4,5,5,5,5,7,5,4,5,7,5,4,6,5,4,4,5,4,6,4,88.75,5.5,5.33333,5.875,4.83333,5.3,20,20,11,8
TR,TR,1,26,6,4,7,2,1,1,6,6,6,6,6,6,6,6,6,6,7,7,7,2,7,1,7,7,7,3,7,7,3,6,7,7,7,4,7,7,3,7,7,3,3,6,7,3,7,7,7,7,7,7,7,6,1,4,7,4,7,1,4,1,7,1,7,1,90,6.33333,3.5,6.875,7,6,19,10,14,2
TR,TR,2,30,5,3,12,1,1,9,6,3,6,6,6,6,6,6,6,6,5,7,7,5,5,4,5,5,7,5,6,6,6,4,7,1,6,3,5,6,5,4,5,6,4,5,6,4,3,5,5,5,5,4,6,3,3,3,6,4,6,5,5,2,5,5,7,6,91.25,5.16667,4.5,4.375,4.83333,4.9,20,14,12,11
TR,TR,1,26,6,1,3,1,1,9,6,3,6,3,6,6,6,6,6,6,6,7,7,4,6,7,7,6,5,6,6,6,5,6,6,7,4,5,7,5,3,6,6,6,5,5,6,3,6,6,5,6,4,6,5,4,5,7,5,3,5,3,4,2,4,2,6,5,91.25,5.33333,4.33333,6.25,5.66667,5.43333,19,15,10,7
TR,TR,2,31,6,1,1,2,9,9,6,2,6,6,6,6,6,6,6,6,7,7,7,4,7,7,7,7,7,4,7,1,5,7,7,6,7,5,7,7,5,5,4,7,6,5,3,4,4,7,2,6,6,6,6,7,4,4,6,5,7,7,5,3,5,5,7,5,92.5,6.16667,5.16667,5.875,4.16667,5.56667,22,19,12,10
TR,TR,2,40,6,1,2,2,1,9,6,6,6,6,6,6,6,6,6,6,7,7,7,1,4,7,4,6,6,4,5,5,6,6,6,6,5,6,6,4,5,6,6,6,4,5,4,4,5,6,6,6,6,6,5,2,4,4,5,5,5,5,5,4,4,4,5,6,92.5,5.66667,4.16667,5.625,5.33333,5.23333,19,18,9,10
TR,TR,2,29,5,1,3,1,1,2,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,5,7,5,6,4,7,3,3,5,7,4,5,4,6,5,4,4,6,6,4,4,6,5,5,7,4,4,4,6,1,4,7,7,7,7,7,5,3,7,7,7,7,93.75,4.5,4.5,4.5,5.5,4.86667,23,24,14,14
TR,TR,1,32,6,1,1,1,1,9,6,6,6,6,6,6,6,6,6,6,4,7,3,4,7,7,5,6,4,3,5,4,4,5,5,2,4,3,6,3,3,7,6,3,4,5,5,3,4,2,5,5,5,6,2,3,5,6,6,6,6,7,6,3,5,6,7,7,93.75,4.16667,3.33333,5.625,4.16667,4.23333,23,22,12,13
TR,TR,2,26,5,1,3,2,1,9,3,6,6,6,9,6,6,6,3,6,7,7,7,5,6,6,5,6,4,5,6,6,4,5,7,6,6,5,7,6,5,6,6,6,3,3,7,6,4,6,4,5,4,7,7,5,4,4,6,2,6,4,3,3,5,4,5,3,93.75,5.16667,4.66667,5.75,5.66667,5.4,19,13,10,7
TR,TR,2,28,5,1,2,2,1,9,3,3,6,6,6,6,6,3,6,6,7,7,7,4,7,7,7,7,7,7,6,6,6,6,7,7,6,7,6,7,5,4,6,7,6,6,5,6,2,7,6,6,7,5,6,4,4,6,7,4,7,7,7,4,7,7,7,7,93.75,6.66667,5.66667,5.375,6,6,25,21,14,14
TR,TR,1,33,6,1,3,1,1,9,3,6,6,6,6,6,3,6,6,6,7,7,6,6,7,7,7,6,5,3,6,6,2,6,7,2,7,7,6,6,4,7,6,6,6,6,6,2,5,7,6,5,6,6,6,5,4,5,7,7,6,7,7,4,5,5,6,7,93.75,6.5,3.66667,6.125,5.33333,5.5,24,23,11,12
TR,TR,2,31,6,1,11,2,1,9,3,3,6,6,6,6,6,6,6,6,6,7,6,4,6,6,5,6,6,3,5,4,3,3,5,6,4,6,7,6,2,4,6,6,4,5,6,4,5,5,3,5,5,6,6,6,5,5,5,5,6,6,4,3,5,5,6,6,93.75,5.16667,3.66667,5.25,4.66667,4.9,20,19,11,11
TR,TR,1,21,5,4,7,2,1,2,6,6,6,6,6,6,6,6,6,6,3,7,1,2,5,6,5,7,5,5,3,7,4,5,4,7,6,5,5,6,5,5,6,6,5,5,7,6,4,2,7,5,5,5,7,7,1,5,4,4,4,5,5,5,3,3,5,5,95,4,5.33333,5.25,6.5,5.36667,14,19,8,8
TR,TR,2,28,6,1,3,1,1,9,6,2,6,6,6,6,6,6,2,6,7,7,7,1,6,2,6,6,5,6,7,7,7,7,5,7,5,7,7,7,5,6,5,5,7,6,4,5,3,4,5,5,6,3,7,6,6,7,7,6,7,7,7,4,7,7,7,7,96.25,5.83333,6,5.375,5.5,5.7,27,24,14,14
TR,TR,2,23,5,4,7,2,9,9,6,3,6,6,6,6,6,6,6,6,6,6,7,1,7,6,7,7,6,3,6,7,4,2,7,7,5,6,7,5,4,5,5,6,6,5,5,6,5,7,7,6,5,7,7,4,7,7,5,5,7,4,6,4,5,5,6,5,96.25,6,4.5,5.625,6.16667,5.63333,25,20,11,10
TR,TR,1,35,6,1,3,2,1,9,6,3,6,6,6,6,6,6,6,6,7,7,7,3,2,6,4,2,2,2,2,4,2,5,6,3,4,3,6,4,5,6,2,2,4,3,6,3,5,4,6,4,7,5,1,7,3,3,3,3,4,4,3,3,1,1,4,6,97.5,4.16667,3.83333,4.375,4.5,3.96667,13,13,5,7
TR,TR,2,52,6,4,8,1,1,9,2,6,6,6,6,6,6,3,6,6,7,7,7,7,7,6,5,6,5,3,5,5,3,6,5,5,5,5,6,6,5,7,5,5,5,5,4,4,5,5,4,6,5,5,5,5,6,6,7,7,7,7,5,4,5,5,6,6,97.5,5,4.16667,5.625,4.83333,5,25,24,11,11
TR,TR,1,27,6,1,3,1,1,9,3,3,6,6,6,6,6,6,6,6,7,7,7,2,7,4,7,7,5,6,7,6,5,7,7,7,6,4,7,7,5,7,7,7,6,5,7,6,2,5,7,5,7,7,7,6,5,6,6,6,6,6,5,2,6,6,6,6,98.75,5.83333,5.66667,6.375,6.33333,6.13333,22,20,12,12
TR,NL,2,55,5,2,2,2,1,9,6,6,6,6,6,6,6,6,6,6,7,7,3,4,5,5,6,7,4,3,3,5,7,6,7,2,4,4,4,4,4,6,3,5,3,4,7,4,4,2,7,3,7,7,7,5,5,6,5,6,5,7,7,2,4,4,5,5,33.75,4.5,4.33333,5.375,4.66667,4.8,22,21,9,9
TR,NL,2,40,6,1,2,1,1,9,6,3,6,6,3,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,6,6,7,7,7,7,7,7,7,7,7,7,5,4,7,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,48.75,7,5.83333,6.625,6,6.46667,28,28,14,14
TR,NL,2,36,5,2,3,1,1,2,6,6,6,6,6,6,6,6,6,6,4,2,5,6,6,5,5,6,7,6,7,6,4,6,6,6,6,2,3,6,5,6,6,2,6,6,6,2,6,6,3,6,5,6,6,5,5,7,5,7,3,7,5,7,4,7,5,7,50,5.33333,4.66667,5.5,5.5,5.26667,18,28,9,14
TR,NL,2,43,4,4,1,2,1,3,6,1,6,6,6,6,6,6,6,6,3,7,1,7,7,7,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,5,4,4,4,3,4,4,4,3,4,4,4,4,51.25,3.83333,3.66667,4,4,3.9,16,14,8,8
TR,NL,2,42,6,3,11,2,1,2,6,3,6,6,6,6,6,6,6,6,3,7,2,2,2,6,7,6,5,6,7,5,5,7,6,6,6,6,6,6,5,4,4,6,6,7,7,4,4,6,4,6,5,6,6,5,5,7,7,7,5,7,6,6,4,7,5,7,52.5,6.16667,5.16667,5.5,5.66667,5.63333,23,27,9,14
TR,NL,2,39,5,4,6,2,1,9,6,6,6,6,6,6,6,6,6,6,6,7,3,4,2,6,3,4,3,4,6,6,4,6,5,5,2,5,7,5,5,5,3,5,3,5,2,5,2,6,6,4,5,7,7,6,1,5,2,4,5,7,7,3,1,3,3,6,53.75,5.33333,4.5,4.625,4.16667,4.7,15,19,4,9
TR,NL,2,42,5,4,10,2,1,9,6,6,6,6,6,6,3,6,6,6,5,6,4,4,5,6,7,6,6,6,7,6,5,6,6,7,5,3,5,6,3,6,4,6,6,7,3,4,6,5,4,4,5,4,5,5,5,7,5,7,5,6,6,4,5,7,5,7,53.75,5.5,4.83333,5.5,4.83333,5.26667,21,24,10,14
TR,NL,2,26,6,1,4,1,1,9,6,6,6,6,6,6,6,3,6,6,6,6,1,1,6,6,5,5,5,5,6,5,4,5,5,5,5,3,6,5,5,4,5,5,6,5,5,5,5,5,5,5,6,5,5,6,4,4,5,5,6,6,4,2,6,5,5,6,53.75,5,5.16667,5,5,5.03333,19,17,11,11
TR,NL,2,42,6,4,6,1,1,9,6,6,6,6,6,6,6,6,6,6,7,7,7,1,7,6,6,7,6,7,7,7,7,7,7,6,6,2,7,4,7,6,7,7,6,6,4,7,1,7,7,7,7,7,7,7,2,2,7,7,7,5,5,4,4,4,4,4,56.25,6,6.83333,6,6.16667,6.2,21,18,8,8
TR,NL,2,39,6,1,1,1,1,9,6,6,6,6,6,6,6,6,3,6,7,5,7,5,7,5,6,2,6,2,3,6,2,2,6,2,5,2,2,2,6,2,6,2,5,6,6,3,6,6,2,5,6,3,6,4,5,7,6,7,7,7,7,7,7,7,7,7,57.5,4.83333,3.66667,3.625,4.33333,4.06667,25,28,14,14
TR,NL,2,61,6,4,8,1,1,2,6,6,6,6,6,6,6,6,6,6,7,7,6,7,4,4,5,7,6,5,7,6,6,7,7,7,6,2,7,5,7,5,5,3,6,7,5,4,7,3,7,4,3,7,7,5,5,7,5,5,7,7,5,4,5,5,6,7,57.5,4.83333,5.5,6.25,5.83333,5.6,22,23,11,12
TR,NL,2,38,5,1,1,1,1,9,6,3,6,6,6,6,6,6,6,6,7,7,2,1,7,7,7,5,6,5,7,5,6,6,6,7,3,4,6,5,3,6,6,3,5,6,5,3,4,6,4,4,6,5,4,7,7,7,7,7,7,7,2,1,7,7,6,5,57.5,5.83333,4.83333,5.625,4.66667,5.16667,23,22,13,12
TR,NL,2,39,6,1,2,2,1,9,6,6,6,6,6,6,6,6,6,6,7,7,7,2,7,3,7,6,5,5,7,6,5,6,6,6,5,7,6,6,4,6,6,5,5,6,6,5,5,6,6,6,7,6,6,7,6,5,6,4,5,4,5,3,6,5,7,5,58.75,6.5,5.16667,6,5.83333,5.83333,22,16,13,10
TR,NL,1,41,6,1,4,1,1,9,6,6,6,6,6,6,6,6,6,6,4,7,2,5,3,4,4,5,4,4,4,4,6,6,5,4,5,4,4,3,5,4,4,4,4,5,4,3,5,4,3,3,5,3,6,5,4,6,4,6,4,7,6,2,4,5,4,7,60,4.5,4.5,4.375,3.83333,4.3,18,21,8,12
TR,NL,2,48,5,3,11,2,1,9,6,6,6,6,6,6,6,6,6,6,7,7,3,7,7,7,5,7,4,5,3,7,4,4,5,6,3,4,6,7,5,7,5,3,4,7,2,6,6,4,5,4,6,6,6,6,4,4,4,4,4,6,5,3,3,3,4,4,60,4.83333,5,5.75,4.5,5.06667,17,17,7,7
TR,NL,2,23,5,4,7,2,1,9,3,3,6,6,6,6,6,6,6,6,7,7,7,7,7,7,5,6,4,6,4,4,6,5,3,4,3,5,7,5,3,5,4,5,3,3,3,5,4,3,5,5,4,5,4,2,3,5,4,5,4,6,5,4,4,5,5,6,60,3.66667,4.16667,5.125,4,4.33333,16,20,9,11
TR,NL,2,36,5,3,9,2,1,9,6,6,6,6,6,6,6,6,6,6,7,7,6,3,4,7,5,5,4,6,7,4,4,4,5,6,3,5,7,6,4,5,5,6,3,6,5,3,5,3,5,5,5,5,6,1,2,6,6,6,7,6,5,4,6,6,6,6,60,5.16667,3.5,5.125,4.66667,4.76667,20,22,12,12
TR,NL,2,33,5,1,3,2,1,2,6,6,6,6,6,6,6,6,6,6,5,7,6,2,4,2,7,5,7,7,7,3,6,6,5,3,3,6,6,7,7,6,5,6,5,7,2,4,3,5,2,3,6,3,7,2,4,1,5,6,5,5,6,2,5,3,5,6,60,6,5.16667,5.125,2.66667,5.03333,20,14,10,9
